name,tipo,latitude,longitude,cep
Sofá-Cama 84,furniture,-22.9240687,-43.1773290,Sem CEP
Sem nome,furniture,-22.9241240,-43.1773033,Sem CEP
Sem nome,furniture,-22.9241715,-43.1772861,Sem CEP
Mobiliária Real,furniture,-22.9244402,-43.1771059,Sem CEP
Sem nome,stationery,-22.9249225,-43.1768484,22220-000
Princesa,supermarket,-22.9249857,-43.1768312,22220-000
Sem nome,furniture,-22.9251675,-43.1767883,22220-000
Sem nome,hardware,-22.9253098,-43.1767626,22220-000
Sem nome,furniture,-22.9254600,-43.1767454,22220-000
Sem nome,clothes,-22.9255232,-43.1767454,22220-000
Sem nome,hardware,-22.9255865,-43.1767454,22220-000
Rede Ultra,supermarket,-22.9260172,-43.1767601,22220-000
Ortobom,bed,-22.9259560,-43.1767631,22220-000
Sem nome,furniture,-22.9260703,-43.1767631,22220-000
Papelaria Catete,stationery,-22.9261426,-43.1767661,22220-000
Sem nome,furniture,-22.9261927,-43.1767661,22220-000
Sem nome,furniture,-22.9263129,-43.1767631,22220-000
Carrefour,supermarket,-19.9267964,-43.9342027,Sem CEP
Sem nome,kiosk,-22.9571672,-43.1990095,Sem CEP
Sem nome,kiosk,-22.9352215,-43.1885360,Sem CEP
Biany Automóveis,car,-22.9343936,-43.1871629,Sem CEP
Sem nome,yes,-22.9343765,-43.1870439,Sem CEP
Sem nome,kiosk,-22.9343388,-43.1870912,Sem CEP
Sem nome,garden_centre,-22.9334652,-43.1850251,Sem CEP
HortiFruti,supermarket,-22.9336632,-43.1858830,22240004
Bazar Sonimar,stationery,-22.9335356,-43.1856584,Sem CEP
Fietsrio,bicycle,-22.9335147,-43.1855483,22240-004
Itaú,bank,-22.9334834,-43.1854168,Sem CEP
Lu Fashion,clothes,-22.9332986,-43.1840695,Sem CEP
Frigorífico Palácio,butcher,-22.9332357,-43.1839975,Sem CEP
Itaú,bank,-19.4634332,-45.6030138,35610-000
Sem nome,kiosk,-19.9299938,-43.9797708,Sem CEP
Sem nome,kiosk,-20.6694634,-40.4988135,Sem CEP
Sem nome,kiosk,-20.6717697,-40.4984826,Sem CEP
Sem nome,kiosk,-19.9427524,-43.9219021,Sem CEP
Banco do Brasil,bank,-19.9444417,-43.9225888,Sem CEP
Itaú,bank,-19.9449258,-43.9228302,Sem CEP
Bradesco,bank,-19.9445879,-43.9230555,Sem CEP
Erich's Plantas e Jardins,garden_centre,-23.3575267,-51.1972483,Sem CEP
Carrefour,supermarket,-23.3410684,-51.1865687,Sem CEP
Zona Sul,supermarket,-22.9638318,-43.1714859,Sem CEP
Quiosque Ticket Center,ticket,-22.9652690,-43.1730187,Sem CEP
Sem nome,bakery,-20.6777112,-40.5044541,Sem CEP
