MUNICIPIO,sigla_uf,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total,longitude,latitude
CANDEIAS DO JAMARI,RO,2763.0,2479.0,2210.0,2335.0,4903.0,4488.0,3810.0,2613.0,1530.0,718.0,219.0,28068.0,-63.3254198532114,-8.88702392955617
CASTANHEIRAS,RO,192.0,186.0,166.0,185.0,474.0,427.0,453.0,421.0,245.0,131.0,43.0,2923.0,-61.8800839234306,-11.4707893352808
CHUPINGUAIA,RO,1111.0,1034.0,952.0,1006.0,2237.0,1890.0,1665.0,1079.0,502.0,218.0,61.0,11755.0,-60.8985061604425,-12.5372750335995
CUJUBIM,RO,2785.0,2523.0,2293.0,2547.0,5001.0,4377.0,3604.0,2345.0,1141.0,412.0,103.0,27131.0,-62.5652673033848,-9.1709863446154
GOVERNADOR JORGE TEIXEIRA,RO,543.0,507.0,449.0,506.0,1127.0,1095.0,1064.0,877.0,558.0,294.0,110.0,7130.0,-63.1838878487462,-10.7480058389103
ITAPUA DO OESTE,RO,1044.0,992.0,859.0,798.0,1931.0,1594.0,1451.0,1070.0,685.0,300.0,95.0,10819.0,-63.044960463046,-9.17019402601564
MINISTRO ANDREAZZA,RO,763.0,762.0,714.0,704.0,1543.0,1467.0,1296.0,1071.0,666.0,336.0,139.0,9461.0,-61.5689896356095,-11.1604381842685
MIRANTE DA SERRA,RO,802.0,767.0,698.0,828.0,1773.0,1605.0,1508.0,1152.0,886.0,450.0,222.0,10691.0,-62.8479367307725,-11.0768194136507
MONTE NEGRO,RO,1362.0,1294.0,1156.0,1285.0,2744.0,2374.0,2270.0,1734.0,1144.0,579.0,216.0,16158.0,-63.3724143382525,-10.2109441112104
NOVA UNIAO,RO,509.0,508.0,491.0,498.0,1153.0,991.0,1039.0,819.0,503.0,227.0,84.0,6822.0,-62.5324230615508,-10.8894263149336
NOVA UNIAO,MG,509.0,508.0,491.0,498.0,1153.0,991.0,1039.0,819.0,503.0,227.0,84.0,6822.0,-43.5720195046704,-19.6351911449721
PARECIS,RO,545.0,528.0,496.0,489.0,1052.0,1084.0,818.0,711.0,373.0,169.0,54.0,6319.0,-61.4152350248516,-12.2622847049275
PIMENTEIRAS DO OESTE,RO,212.0,184.0,154.0,154.0,337.0,317.0,307.0,245.0,146.0,55.0,16.0,2127.0,-61.5455653695136,-13.1737025374291
PRIMAVERA DE RONDONIA,RO,182.0,181.0,156.0,178.0,443.0,384.0,398.0,373.0,230.0,121.0,51.0,2697.0,-61.3153516694783,-11.8787404580348
SAO FELIPE D'OESTE,RO,327.0,321.0,288.0,299.0,739.0,742.0,762.0,651.0,468.0,263.0,102.0,4962.0,-61.4670580586438,-11.9046306269236
SAO FRANCISCO DO GUAPORE,RO,1892.0,1755.0,1613.0,1714.0,3733.0,3149.0,2861.0,2080.0,1295.0,758.0,238.0,21088.0,-63.1226712699562,-12.3688265389959
SERINGUEIRAS,RO,915.0,862.0,789.0,947.0,2053.0,1809.0,1710.0,1345.0,839.0,411.0,166.0,11846.0,-63.230756824131,-11.8071571771332
TEIXEIROPOLIS,RO,273.0,279.0,266.0,271.0,633.0,631.0,595.0,576.0,327.0,212.0,97.0,4160.0,-62.2798698638238,-10.9436411858726
THEOBROMA,RO,821.0,790.0,698.0,707.0,1591.0,1529.0,1601.0,1165.0,810.0,462.0,174.0,10348.0,-62.3423767358094,-10.1217399384339
URUPA,SC,802.0,768.0,729.0,766.0,1681.0,1807.0,1618.0,1325.0,954.0,469.0,162.0,11081.0,-49.9008740640088,-28.0233873998182
VALE DO ANARI,RO,987.0,898.0,775.0,827.0,1844.0,1742.0,1708.0,1321.0,861.0,431.0,151.0,11545.0,-61.9390187514678,-9.7324510362451
VALE DO PARAISO,RO,456.0,452.0,417.0,433.0,1038.0,952.0,990.0,869.0,530.0,257.0,96.0,6490.0,-62.0938895264378,-10.3839889146631
