MUNICIPIO,sigla_uf,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total,longitude,latitude
NOVO ALEGRE,TO,158.0,160.0,160.0,151.0,357.0,366.0,368.0,281.0,181.0,105.0,45.0,2332.0,-46.5598585857132,-12.9142335865939
NOVO JARDIM,TO,282.0,253.0,221.0,243.0,480.0,387.0,359.0,253.0,156.0,96.0,38.0,2768.0,-46.5502555230225,-11.7712160861479
OLIVEIRA DE FATIMA,TO,98.0,91.0,82.0,85.0,193.0,147.0,152.0,107.0,88.0,55.0,26.0,1124.0,-48.8771380711096,-10.6741442401411
PALMEIRANTE,TO,600.0,569.0,478.0,459.0,1097.0,895.0,867.0,623.0,385.0,188.0,73.0,6234.0,-48.1558301646413,-7.8863958729471
PALMEIROPOLIS,TO,501.0,521.0,536.0,573.0,1202.0,1199.0,1148.0,942.0,594.0,329.0,149.0,7694.0,-48.3488791637563,-13.0195310867527
PARAISO DO TOCANTINS,TO,3557.0,3711.0,4142.0,4415.0,8975.0,8938.0,7351.0,5490.0,3368.0,1770.0,804.0,52521.0,-48.8261885448048,-10.2210873624267
PARANA,GO,950.0,888.0,789.0,749.0,1774.0,1601.0,1320.0,1035.0,710.0,407.0,203.0,10426.0,-50.6379529671862,-17.0470070237048
PAU D'ARCO,PA,371.0,377.0,368.0,346.0,834.0,759.0,654.0,545.0,370.0,183.0,78.0,4885.0,-50.1236891754552,-7.73699582191612
PAU D'ARCO,TO,371.0,377.0,368.0,346.0,834.0,759.0,654.0,545.0,370.0,183.0,78.0,4885.0,-48.9881867417128,-7.54564319990077
PEDRO AFONSO,TO,1090.0,1064.0,1078.0,1122.0,2615.0,2510.0,2047.0,1159.0,704.0,372.0,203.0,13964.0,-48.0341747336642,-9.22731690283216
PEIXE,TO,920.0,881.0,804.0,798.0,2027.0,1780.0,1852.0,1371.0,898.0,473.0,192.0,11996.0,-48.5551980956839,-11.9964555440574
PEQUIZEIRO,TO,405.0,394.0,371.0,432.0,921.0,767.0,817.0,691.0,405.0,234.0,109.0,5546.0,-48.9167959315979,-8.37924545220931
COLMEIA,TO,544.0,535.0,525.0,543.0,1323.0,1195.0,1200.0,999.0,666.0,375.0,173.0,8078.0,-48.7648119516531,-8.83665396721375
PINDORAMA DO TOCANTINS,TO,370.0,380.0,365.0,333.0,626.0,631.0,595.0,514.0,335.0,191.0,74.0,4414.0,-47.5591518218202,-11.1599973426507
PIRAQUE,TO,208.0,197.0,179.0,206.0,434.0,419.0,471.0,413.0,280.0,181.0,50.0,3038.0,-48.2402297528487,-6.73872182666432
PIUM,TO,612.0,596.0,581.0,578.0,1262.0,1100.0,1053.0,910.0,627.0,339.0,172.0,7830.0,-49.8727515270422,-10.2102475643651
PONTE ALTA DO BOM JESUS,TO,369.0,378.0,333.0,278.0,717.0,641.0,603.0,529.0,390.0,230.0,118.0,4586.0,-46.5791181067425,-12.0523744470072
PONTE ALTA DO TOCANTINS,TO,745.0,708.0,646.0,615.0,1354.0,1252.0,1051.0,880.0,519.0,283.0,139.0,8192.0,-47.3280233683663,-10.751889574254
PORTO ALEGRE DO TOCANTINS,TO,282.0,265.0,226.0,215.0,607.0,461.0,398.0,309.0,239.0,137.0,61.0,3200.0,-47.0466688383581,-11.511566833153
PORTO NACIONAL,TO,4035.0,4066.0,4300.0,4492.0,9147.0,8792.0,7303.0,5220.0,3405.0,1881.0,977.0,53618.0,-48.4967315168616,-10.5441674551845
PRAIA NORTE,TO,911.0,844.0,743.0,768.0,1551.0,1267.0,989.0,634.0,457.0,279.0,120.0,8563.0,-47.7834801363402,-5.47251585737856
PRESIDENTE KENNEDY,TO,258.0,261.0,264.0,304.0,595.0,523.0,509.0,406.0,283.0,176.0,89.0,3668.0,-48.4613221157782,-8.46234809593236
PRESIDENTE KENNEDY,ES,258.0,261.0,264.0,304.0,595.0,523.0,509.0,406.0,283.0,176.0,89.0,3668.0,-41.0724918792391,-21.1431332369422
PUGMIL,TO,249.0,233.0,238.0,246.0,481.0,379.0,368.0,294.0,152.0,73.0,33.0,2746.0,-48.8833524926783,-10.422637832748
RECURSOLANDIA,TO,476.0,428.0,371.0,396.0,770.0,611.0,495.0,392.0,240.0,145.0,65.0,4389.0,-47.1130365354862,-8.69722040392052
RIACHINHO,TO,430.0,394.0,342.0,317.0,733.0,686.0,637.0,500.0,376.0,206.0,102.0,4723.0,-48.1362714276857,-6.46032661234185
RIACHINHO,MG,430.0,394.0,342.0,317.0,733.0,686.0,637.0,500.0,376.0,206.0,102.0,4723.0,-45.9279541083059,-16.2767067954336
RIO DA CONCEICAO,TO,199.0,183.0,162.0,216.0,450.0,361.0,279.0,157.0,95.0,72.0,37.0,2211.0,-46.7482818173133,-11.3407692858994
RIO DOS BOIS,TO,235.0,217.0,200.0,210.0,453.0,407.0,445.0,346.0,223.0,96.0,47.0,2879.0,-48.4519220353312,-9.23605986086562
RIO SONO,TO,522.0,508.0,454.0,450.0,1074.0,953.0,802.0,729.0,526.0,325.0,155.0,6498.0,-47.496234909733,-9.64778321405684
SAMPAIO,TO,504.0,462.0,401.0,434.0,986.0,734.0,556.0,381.0,223.0,120.0,75.0,4876.0,-47.9188457998561,-5.32965500284214
SANDOLANDIA,TO,263.0,254.0,244.0,243.0,508.0,447.0,520.0,427.0,270.0,144.0,51.0,3371.0,-49.8761508099751,-12.4020566877877
SANTA FE DO ARAGUAIA,TO,682.0,660.0,634.0,659.0,1470.0,1214.0,918.0,688.0,442.0,224.0,87.0,7678.0,-48.9738071751295,-7.09379232716418
SANTA MARIA DO TOCANTINS,TO,318.0,301.0,274.0,255.0,552.0,478.0,468.0,394.0,281.0,147.0,69.0,3537.0,-47.8483612824063,-8.82442645021896
SANTA RITA DO TOCANTINS,TO,216.0,196.0,169.0,195.0,387.0,313.0,370.0,280.0,171.0,85.0,25.0,2407.0,-49.2956446495105,-10.9710715466688
SANTA ROSA DO TOCANTINS,TO,457.0,428.0,343.0,328.0,782.0,686.0,661.0,534.0,354.0,196.0,95.0,4864.0,-48.1083817414429,-11.3984057232488
SANTA TEREZA DO TOCANTINS,TO,280.0,290.0,272.0,203.0,489.0,416.0,341.0,311.0,196.0,77.0,53.0,2928.0,-47.7418118108597,-10.2994045643103
SANTA TEREZINHA DO TOCANTINS,TO,201.0,191.0,188.0,206.0,428.0,397.0,336.0,275.0,156.0,97.0,55.0,2530.0,-47.7506206900918,-6.47226692111775
SAO BENTO DO TOCANTINS,TO,588.0,528.0,464.0,441.0,1001.0,866.0,685.0,410.0,250.0,155.0,69.0,5457.0,-47.9394869762913,-5.97480570088888
SAO FELIX DO TOCANTINS,TO,168.0,167.0,143.0,123.0,280.0,238.0,177.0,138.0,102.0,45.0,29.0,1610.0,-46.6784637520159,-10.0689437467677
SAO MIGUEL DO TOCANTINS,TO,1200.0,1105.0,1030.0,1124.0,2205.0,1909.0,1511.0,1041.0,687.0,429.0,204.0,12445.0,-47.5953298330328,-5.54262517707161
SAO SALVADOR DO TOCANTINS,TO,264.0,259.0,241.0,239.0,588.0,490.0,392.0,302.0,189.0,98.0,44.0,3106.0,-48.3651320915041,-12.5778365753543
SAO SEBASTIAO DO TOCANTINS,TO,461.0,442.0,426.0,429.0,823.0,738.0,627.0,430.0,312.0,143.0,67.0,4898.0,-48.3319805129581,-5.24065632304858
SAO VALERIO,TO,299.0,293.0,239.0,221.0,616.0,528.0,507.0,473.0,343.0,226.0,103.0,3848.0,-48.1707580535821,-11.8040645029806
SILVANOPOLIS,TO,446.0,431.0,382.0,327.0,850.0,760.0,702.0,582.0,469.0,330.0,173.0,5452.0,-48.0074394213162,-11.1321042257472
SITIO NOVO DO TOCANTINS,TO,747.0,723.0,692.0,707.0,1441.0,1475.0,1135.0,840.0,649.0,359.0,197.0,8965.0,-47.6864131575569,-5.62996814931162
SUCUPIRA,TO,163.0,149.0,133.0,173.0,350.0,272.0,314.0,180.0,148.0,95.0,30.0,2007.0,-48.8349395486587,-12.1133539462889
TAGUATINGA,TO,1242.0,1217.0,1188.0,1329.0,2858.0,2633.0,2349.0,1798.0,1264.0,734.0,354.0,16966.0,-46.5557657257132,-12.3870560855362
TAIPAS DO TOCANTINS,TO,206.0,193.0,162.0,159.0,379.0,330.0,283.0,193.0,154.0,79.0,45.0,2183.0,-46.9946534598835,-12.1400469921109
TALISMA,TO,192.0,185.0,172.0,210.0,495.0,434.0,416.0,365.0,207.0,109.0,46.0,2831.0,-49.0483347424168,-12.6828788268671
PALMAS,TO,23202.0,23248.0,28340.0,32245.0,59909.0,55165.0,41759.0,25560.0,14753.0,6786.0,2382.0,313349.0,-48.1536047674387,-10.2185670577325
PALMAS,PR,23202.0,23248.0,28340.0,32245.0,59909.0,55165.0,41759.0,25560.0,14753.0,6786.0,2382.0,313349.0,-51.8144673149726,-26.4511371041389
TOCANTINIA,TO,905.0,833.0,781.0,744.0,1382.0,1024.0,757.0,593.0,367.0,193.0,109.0,7688.0,-48.1403529468622,-9.60312401946413
TOCANTINOPOLIS,TO,1890.0,1885.0,1909.0,1833.0,3783.0,3634.0,2816.0,2188.0,1533.0,835.0,514.0,22820.0,-47.5376088315136,-6.25709687190979
TUPIRAMA,TO,173.0,158.0,148.0,147.0,344.0,320.0,279.0,192.0,114.0,54.0,23.0,1952.0,-48.2593885283132,-8.93829802128686
TUPIRATINS,TO,220.0,218.0,170.0,165.0,506.0,372.0,407.0,350.0,218.0,108.0,51.0,2785.0,-48.2109142379857,-8.35666482533594
WANDERLANDIA,TO,903.0,885.0,862.0,961.0,1956.0,1838.0,1731.0,1165.0,776.0,481.0,225.0,11783.0,-48.0019151792196,-6.91121966803849
XAMBIOA,TO,871.0,883.0,865.0,834.0,2022.0,1899.0,1554.0,1223.0,719.0,387.0,243.0,11500.0,-48.451424983892,-6.54531154470057
ACAILANDIA,MA,9101.0,9069.0,10220.0,11371.0,21291.0,18385.0,14223.0,9634.0,5983.0,3135.0,1371.0,113783.0,-47.3323674319477,-4.78599484209781
AFONSO CUNHA,MA,716.0,685.0,739.0,721.0,1182.0,914.0,683.0,481.0,300.0,141.0,69.0,6631.0,-43.2973951593699,-4.21480017177933
AGUA DOCE DO MARANHAO,MA,1121.0,1081.0,1097.0,1140.0,2214.0,2128.0,1570.0,1057.0,637.0,448.0,238.0,12731.0,-42.1664513959572,-2.94710194580895
ALCANTARA,MA,1870.0,1809.0,1897.0,1872.0,3550.0,3639.0,2849.0,2134.0,1370.0,745.0,391.0,22126.0,-44.5315644072671,-2.39403008882175
ALDEIAS ALTAS,MA,2933.0,2771.0,2938.0,2759.0,4674.0,3984.0,2742.0,1908.0,1232.0,714.0,324.0,26979.0,-43.3833992340652,-4.50280516273545
ALTAMIRA DO MARANHAO,MA,642.0,611.0,635.0,755.0,1504.0,1241.0,1073.0,869.0,512.0,268.0,140.0,8250.0,-45.4955812433841,-4.12220596524459
ALTO ALEGRE DO MARANHAO,MA,2471.0,2493.0,2844.0,2876.0,4944.0,4507.0,3298.0,2148.0,1418.0,702.0,365.0,28066.0,-44.3935489145222,-4.20933068095027
ALTO ALEGRE DO PINDARE,MA,3161.0,3000.0,2999.0,3054.0,5740.0,4604.0,3517.0,2349.0,1776.0,1207.0,560.0,31967.0,-46.0076159135193,-3.88047038560758
ALTO PARNAIBA,MA,1007.0,984.0,980.0,989.0,2026.0,1690.0,1228.0,983.0,775.0,383.0,188.0,11233.0,-46.2132332797064,-9.50806306598172
AMAPA DO MARANHAO,MA,732.0,663.0,678.0,774.0,1299.0,1002.0,734.0,511.0,334.0,232.0,88.0,7047.0,-45.947945028328,-1.67295682027719
AMARANTE DO MARANHAO,MA,4657.0,4335.0,4381.0,4337.0,7143.0,5671.0,4445.0,2980.0,2117.0,1319.0,632.0,42017.0,-46.5818599967263,-5.27836628016658
ANAJATUBA,MA,2110.0,2089.0,2235.0,2259.0,4725.0,4505.0,3607.0,2415.0,1667.0,974.0,584.0,27170.0,-44.5903027100209,-3.25048494601945
ANAPURUS,MA,1499.0,1422.0,1501.0,1673.0,3059.0,2482.0,1785.0,1228.0,770.0,417.0,218.0,16054.0,-43.1077642618616,-3.5439677891973
APICUM-ACU,MA,1483.0,1410.0,1439.0,1664.0,3638.0,2976.0,1988.0,1405.0,903.0,445.0,231.0,17582.0,-45.0764870852887,-1.53193204165844
ARAGUANA,TO,1634.0,1511.0,1453.0,1439.0,2927.0,2531.0,1886.0,1099.0,662.0,364.0,169.0,15675.0,-48.5878309197701,-7.33177001945662
ARAIOSES,MA,4228.0,4076.0,4101.0,4156.0,8342.0,7515.0,5745.0,3864.0,2601.0,1593.0,874.0,47095.0,-42.0171983808867,-2.97304422035036
ARAME,MA,3465.0,3232.0,3268.0,3492.0,6140.0,4864.0,3421.0,2251.0,1439.0,854.0,399.0,32825.0,-45.949244579978,-5.0313062566405
ARARI,MA,2279.0,2322.0,2584.0,2691.0,5227.0,4979.0,3779.0,2676.0,1900.0,997.0,580.0,30014.0,-44.727380664054,-3.53334003442426
AXIXA,MA,1016.0,1001.0,1055.0,1126.0,2095.0,2003.0,1568.0,977.0,701.0,427.0,265.0,12234.0,-44.1032846351312,-2.81974751744112
BACABAL,MA,8154.0,8188.0,9239.0,9808.0,17731.0,16648.0,13499.0,9428.0,6557.0,3779.0,2063.0,105094.0,-44.7580190651238,-4.17102566569856
BACABEIRA,MA,1551.0,1507.0,1610.0,1711.0,3303.0,3044.0,1938.0,1276.0,849.0,437.0,220.0,17446.0,-44.3673883792102,-2.93296767501781
BACURI,MA,1519.0,1489.0,1494.0,1598.0,3602.0,3086.0,2105.0,1576.0,1123.0,687.0,447.0,18726.0,-45.1640423699832,-1.68602903088847
BACURITUBA,MA,487.0,446.0,441.0,489.0,954.0,899.0,712.0,512.0,362.0,235.0,159.0,5696.0,-44.6324910168263,-2.69077821388982
BALSAS,MA,8345.0,8023.0,8974.0,10183.0,19722.0,16299.0,11356.0,7012.0,4118.0,1969.0,950.0,96951.0,-46.342011168945,-8.23688210712313
BARAO DE GRAJAU,MA,1207.0,1243.0,1439.0,1678.0,3321.0,3378.0,2450.0,1857.0,1281.0,755.0,417.0,19026.0,-43.1915998294427,-6.58897343094503
BARRA DO CORDA,MA,7540.0,7526.0,7914.0,7802.0,15772.0,13340.0,10612.0,7983.0,5318.0,3378.0,1710.0,88895.0,-45.1823018691753,-5.50337337331104
BARREIRINHAS,MA,6978.0,6469.0,6477.0,6573.0,11788.0,9673.0,6604.0,4284.0,2790.0,1478.0,777.0,63891.0,-42.9179582917899,-2.84765939560395
BELAGUA,MA,1024.0,898.0,837.0,814.0,1484.0,975.0,627.0,443.0,278.0,132.0,74.0,7586.0,-43.4567128482743,-3.08797067496581
BELA VISTA DO MARANHAO,MA,1043.0,992.0,1051.0,1118.0,2012.0,1721.0,1325.0,897.0,629.0,358.0,201.0,11347.0,-45.3080603755476,-3.78107888673046
BENEDITO LEITE,MA,373.0,389.0,419.0,404.0,958.0,862.0,705.0,689.0,433.0,249.0,162.0,5643.0,-44.5681947927832,-7.12030488232254
BEQUIMAO,MA,1594.0,1602.0,1684.0,1624.0,3258.0,3533.0,2836.0,2106.0,1524.0,1012.0,544.0,21317.0,-44.7874280038076,-2.42489557051456
BERNARDO DO MEARIM,MA,486.0,480.0,479.0,461.0,1022.0,935.0,843.0,585.0,371.0,291.0,149.0,6102.0,-44.6906707979486,-4.67555405336014
BOA VISTA DO GURUPI,MA,950.0,857.0,824.0,905.0,1686.0,1132.0,867.0,640.0,374.0,186.0,73.0,8494.0,-46.1785209047116,-1.76286579249104
BOM JARDIM,MA,4155.0,3969.0,4053.0,3997.0,7388.0,6060.0,4741.0,3344.0,2236.0,1405.0,662.0,42010.0,-46.4178845767925,-3.90021266228522
BOM JARDIM,PE,4155.0,3969.0,4053.0,3997.0,7388.0,6060.0,4741.0,3344.0,2236.0,1405.0,662.0,42010.0,-35.5887903521254,-7.78667794139608
BOM JARDIM,RJ,4155.0,3969.0,4053.0,3997.0,7388.0,6060.0,4741.0,3344.0,2236.0,1405.0,662.0,42010.0,-42.3729036297389,-22.2004168627637
BOM JESUS DAS SELVAS,MA,3662.0,3416.0,3733.0,3925.0,6806.0,5840.0,3621.0,2089.0,1188.0,621.0,194.0,35095.0,-46.6888380578595,-4.60065622064544
BOM LUGAR,MA,1523.0,1441.0,1471.0,1521.0,2969.0,2779.0,2111.0,1257.0,824.0,463.0,219.0,16578.0,-45.020967323151,-4.34656112673172
BREJO,MA,3616.0,3478.0,3697.0,3659.0,6115.0,5560.0,3996.0,2764.0,2087.0,1252.0,676.0,36900.0,-42.8284032469985,-3.68715050438327
BREJO DE AREIA,MA,881.0,861.0,852.0,927.0,1698.0,1282.0,1000.0,692.0,385.0,186.0,77.0,8841.0,-45.5490629054227,-4.36933945554025
BURITI,MA,3114.0,2928.0,2938.0,2880.0,5154.0,4023.0,2881.0,2060.0,1572.0,886.0,480.0,28916.0,-43.0018030817605,-3.90038237483667
BURITI BRAVO,MA,2105.0,2089.0,2146.0,2080.0,4078.0,3361.0,2760.0,2210.0,1624.0,1032.0,508.0,23993.0,-43.8305669488198,-5.78918769889293
BURITICUPU,MA,7768.0,7379.0,7779.0,8170.0,14015.0,10606.0,7291.0,4714.0,3232.0,1921.0,720.0,73595.0,-46.3423951180134,-4.49372958119339
BURITIRANA,MA,1442.0,1391.0,1372.0,1363.0,2702.0,2211.0,1884.0,1283.0,983.0,582.0,290.0,15503.0,-47.0613449360659,-5.51799233479778
CACHOEIRA GRANDE,MA,1016.0,960.0,947.0,991.0,1845.0,1289.0,967.0,699.0,462.0,236.0,112.0,9524.0,-43.9312913688572,-3.12007719119338
CAJAPIO,MA,1060.0,1023.0,1063.0,993.0,1876.0,1866.0,1289.0,901.0,591.0,377.0,216.0,11255.0,-44.5730074675509,-2.86369737129349
CAJARI,MA,1931.0,1747.0,1733.0,1943.0,3738.0,3053.0,2175.0,1393.0,1030.0,512.0,266.0,19521.0,-45.0527652122918,-3.39072613837115
CAMPESTRE DO MARANHAO,MA,1228.0,1192.0,1282.0,1453.0,2702.0,2332.0,1777.0,1176.0,728.0,455.0,205.0,14530.0,-47.2639858715591,-6.17603662576256
CANDIDO MENDES,MA,1919.0,1818.0,1913.0,1947.0,3708.0,3280.0,2261.0,1689.0,978.0,585.0,278.0,20376.0,-45.6753589221341,-1.61676740874673
CANTANHEDE,MA,1929.0,1848.0,1876.0,2153.0,4218.0,3519.0,2727.0,1935.0,1109.0,578.0,344.0,22236.0,-44.2627349983748,-3.62157680855191
CAPINZAL DO NORTE,MA,888.0,890.0,956.0,909.0,1837.0,1609.0,1286.0,1004.0,791.0,496.0,271.0,10937.0,-44.3062184132394,-4.68220415445627
CAROLINA,MA,1846.0,1864.0,1950.0,2017.0,4223.0,3650.0,2983.0,2331.0,1683.0,1015.0,589.0,24151.0,-47.202829380592,-7.37313282425237
CARUTAPERA,MA,2338.0,2227.0,2281.0,2326.0,4662.0,3889.0,2686.0,1724.0,1068.0,571.0,323.0,24095.0,-46.026421272492,-1.34791520411474
CAXIAS,MA,12962.0,13044.0,14670.0,15423.0,27700.0,25793.0,20647.0,15351.0,10808.0,6233.0,3528.0,166159.0,-43.2905870636073,-4.86211258611742
CEDRAL,MA,764.0,770.0,832.0,896.0,1708.0,1704.0,1575.0,1125.0,699.0,392.0,246.0,10711.0,-44.5934496637141,-1.98080983717584
CEDRAL,SP,764.0,770.0,832.0,896.0,1708.0,1704.0,1575.0,1125.0,699.0,392.0,246.0,10711.0,-49.2638856142219,-20.9139216342262
CENTRAL DO MARANHAO,MA,877.0,843.0,833.0,821.0,1531.0,1240.0,1001.0,707.0,491.0,297.0,165.0,8806.0,-44.8581167532453,-2.25495385242637
CENTRO DO GUILHERME,MA,1434.0,1267.0,1331.0,1539.0,2778.0,2515.0,1461.0,788.0,426.0,243.0,94.0,13876.0,-46.1281920049814,-2.36754405288851
CENTRO NOVO DO MARANHAO,MA,2506.0,2182.0,2162.0,2492.0,4503.0,3519.0,2288.0,1257.0,654.0,369.0,124.0,22056.0,-46.537908260098,-3.08611354617759
CHAPADINHA,MA,7669.0,7446.0,7873.0,7719.0,14498.0,12680.0,8853.0,6088.0,4215.0,2431.0,1233.0,80705.0,-43.4539577533987,-3.84872704839571
CIDELANDIA,MA,1359.0,1306.0,1343.0,1395.0,2525.0,2307.0,1751.0,1197.0,909.0,518.0,245.0,14855.0,-47.8299541193757,-5.05712378576748
CODO,RS,10819.0,10684.0,11589.0,11231.0,20645.0,18576.0,13868.0,10453.0,7796.0,4983.0,2724.0,123368.0,-53.493954208012,-28.1657944123628
COELHO NETO,MA,4520.0,4492.0,4902.0,4726.0,8308.0,7126.0,5442.0,4320.0,3280.0,1795.0,893.0,49804.0,-43.1121627388607,-4.2480755687417
COLINAS,MA,3488.0,3504.0,3841.0,3899.0,7890.0,6279.0,4754.0,3414.0,2369.0,1320.0,685.0,41443.0,-44.1817028740412,-6.05559104578179
COLINAS,RS,3488.0,3504.0,3841.0,3899.0,7890.0,6279.0,4754.0,3414.0,2369.0,1320.0,685.0,41443.0,-51.8681914035965,-29.3926341674388
CONCEICAO DO LAGO-ACU,MA,1928.0,1758.0,1752.0,1797.0,3017.0,2237.0,1724.0,1022.0,776.0,374.0,174.0,16559.0,-44.8381823271409,-3.79806308551185
COROATA,MA,5704.0,5611.0,6005.0,6287.0,11458.0,9892.0,7697.0,5707.0,3858.0,2346.0,1223.0,65788.0,-44.145303284988,-4.10218987962442
CURURUPU,MA,2388.0,2354.0,2405.0,2761.0,5466.0,4928.0,4296.0,3359.0,2380.0,1393.0,829.0,32559.0,-44.8196341220978,-1.67655366238456
DAVINOPOLIS,MA,1108.0,1082.0,1145.0,1276.0,2397.0,1967.0,1426.0,984.0,754.0,504.0,280.0,12923.0,-47.2999095120826,-5.59845775957752
DAVINOPOLIS,GO,1108.0,1082.0,1145.0,1276.0,2397.0,1967.0,1426.0,984.0,754.0,504.0,280.0,12923.0,-47.5658052961772,-18.1175957015409
DOM PEDRO,MA,1770.0,1813.0,2002.0,2046.0,4078.0,3615.0,3046.0,2236.0,1390.0,894.0,503.0,23393.0,-44.3971347743254,-5.02132182508896
DUQUE BACELAR,MA,1137.0,1074.0,1097.0,1189.0,2084.0,1569.0,1252.0,975.0,574.0,333.0,167.0,11451.0,-43.009805397804,-4.09929343427626
ESPERANTINOPOLIS,MA,1354.0,1357.0,1466.0,1425.0,2816.0,2508.0,2077.0,1670.0,1198.0,716.0,384.0,16971.0,-44.8909217711152,-4.89624876039144
ESTREITO,MA,3439.0,3386.0,3933.0,4045.0,8039.0,8020.0,5835.0,3336.0,1812.0,877.0,375.0,43097.0,-47.2013355630129,-6.78249579277972
FEIRA NOVA DO MARANHAO,MA,762.0,731.0,679.0,708.0,1547.0,1200.0,1099.0,797.0,533.0,306.0,144.0,8506.0,-46.62466403508,-6.99757816570669
FERNANDO FALCAO,MA,1180.0,1098.0,1117.0,1150.0,2081.0,1418.0,1060.0,692.0,435.0,220.0,108.0,10559.0,-45.3060161038807,-6.17380637555659
FORMOSA DA SERRA NEGRA,MA,1633.0,1572.0,1629.0,1913.0,4313.0,3097.0,2231.0,1402.0,902.0,509.0,224.0,19425.0,-46.1759442203944,-6.52741495953186
FORTALEZA DOS NOGUEIRAS,MA,1016.0,1013.0,1099.0,1196.0,2419.0,1983.0,1507.0,1084.0,708.0,438.0,199.0,12662.0,-46.0818080756989,-6.96566788170349
FORTUNA,MA,1583.0,1572.0,1643.0,1597.0,3037.0,2433.0,2045.0,1564.0,1191.0,768.0,379.0,17812.0,-44.0296285177033,-5.66844137145396
GODOFREDO VIANA,MA,1041.0,1021.0,1038.0,1065.0,2398.0,2199.0,1445.0,1058.0,488.0,253.0,98.0,12104.0,-45.7648974654886,-1.37439441907525
GONCALVES DIAS,MA,1482.0,1455.0,1552.0,1584.0,3046.0,2685.0,2149.0,1680.0,1206.0,713.0,401.0,17953.0,-44.171905836095,-5.15220600495991
GOVERNADOR ARCHER,MA,910.0,878.0,978.0,982.0,1821.0,1712.0,1307.0,966.0,724.0,434.0,219.0,10931.0,-44.2214308972999,-4.99949023543594
GOVERNADOR EDISON LOBAO,MA,1581.0,1555.0,1678.0,1800.0,3459.0,3030.0,2218.0,1582.0,1042.0,541.0,254.0,18740.0,-47.3248075112978,-5.71848261625342
GOVERNADOR EUGENIO BARROS,MA,1300.0,1277.0,1358.0,1325.0,2501.0,2131.0,1694.0,1250.0,971.0,584.0,312.0,14703.0,-44.067195509041,-5.38527410411641
GOVERNADOR LUIZ ROCHA,MA,647.0,622.0,653.0,734.0,1446.0,1159.0,973.0,672.0,523.0,287.0,162.0,7878.0,-44.0932661026529,-5.5370971874645
GOVERNADOR NEWTON BELLO,MA,1013.0,968.0,988.0,1027.0,1926.0,1465.0,1109.0,737.0,477.0,279.0,132.0,10121.0,-45.9205783155114,-3.42163207096814
GOVERNADOR NUNES FREIRE,MA,2559.0,2474.0,2595.0,2747.0,4772.0,3544.0,2525.0,1824.0,1332.0,786.0,344.0,25502.0,-45.8182317493145,-2.06171618825703
GRACA ARANHA,MA,464.0,463.0,509.0,503.0,994.0,968.0,837.0,623.0,462.0,294.0,144.0,6261.0,-44.3180149342022,-5.41468485130136
GRAJAU,CE,6926.0,6639.0,7025.0,7023.0,13366.0,11108.0,7640.0,5257.0,3102.0,1740.0,866.0,70692.0,-41.0059358089467,-3.23428153717482
GUIMARAES,MA,860.0,886.0,922.0,925.0,1841.0,1906.0,1585.0,1230.0,889.0,563.0,359.0,11966.0,-44.6430778752393,-2.14507950165305
HUMBERTO DE CAMPOS,MA,3347.0,3070.0,2961.0,3071.0,5285.0,3882.0,2944.0,2036.0,1329.0,791.0,427.0,29143.0,-43.5813068017322,-2.61345158423469
ICATU,MA,2813.0,2630.0,2509.0,2570.0,5309.0,4065.0,2991.0,2006.0,1313.0,771.0,446.0,27423.0,-43.8704885438102,-2.62120331136102
IGARAPE DO MEIO,MA,1493.0,1402.0,1491.0,1452.0,2591.0,2290.0,1479.0,960.0,682.0,416.0,214.0,14470.0,-45.1235545453516,-3.65642514565735
IGARAPE GRANDE,MA,833.0,851.0,931.0,917.0,1842.0,1820.0,1498.0,1184.0,833.0,486.0,258.0,11453.0,-44.8195742821675,-4.58587219770986
IMPERATRIZ,MA,17166.0,17859.0,21537.0,23867.0,46124.0,43762.0,35686.0,24678.0,16221.0,8743.0,4337.0,259980.0,-47.575254419941,-5.3396823620031
ITAIPAVA DO GRAJAU,MA,1749.0,1636.0,1642.0,1591.0,3052.0,2413.0,1649.0,1111.0,692.0,440.0,183.0,16158.0,-45.6783883196725,-5.18494250051976
ITAPECURU MIRIM,MA,6321.0,6114.0,6413.0,6351.0,12429.0,11071.0,8091.0,5664.0,3789.0,1967.0,1023.0,69233.0,-44.2761722143277,-3.3875856762015
ITINGA DO MARANHAO,MA,2134.0,2129.0,2313.0,2510.0,4573.0,3698.0,3237.0,2509.0,1688.0,948.0,395.0,26134.0,-47.2603497637073,-4.27118987564258
JATOBA,MA,1015.0,983.0,968.0,908.0,1875.0,1519.0,1206.0,833.0,603.0,377.0,177.0,10464.0,-44.2944057960064,-5.85225933441875
JATOBA,PE,1015.0,983.0,968.0,908.0,1875.0,1519.0,1206.0,833.0,603.0,377.0,177.0,10464.0,-38.2137805218918,-9.20776143844243
JENIPAPO DOS VIEIRAS,MA,1948.0,1766.0,1712.0,1684.0,3231.0,2474.0,1831.0,1016.0,682.0,493.0,286.0,17123.0,-45.5757178621874,-5.39107852871709
