,nome_instituicao,nome_agencia,endereco,numero,complemento,bairro,cep,municipio,municipio_ibge
2421,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,TORRE                                                       ,"AV.MIN.JOSE AMERICO DE ALMEIDA,862      ",          ,                                                  ,TORRE                         ,58040-300,JOAO PESSOA                                                 ,2507507.0
2422,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,VARGEM GDE.PAULISTA                                         ,"AV.ELIAS ALVES DA COSTA,469             ",          ,                                                  ,CENTRO                        ,06730-000,VARGEM GRANDE PAULISTA                                      ,3556453.0
2423,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,VASCO DA GAMA                                               ,"AV.VASCO DA GAMA, 3949                  ",          ,                                                  ,FEDERACAO                     ,40230-731,SALVADOR                                                    ,2927408.0
2424,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,VILA ARENS                                                  ,"AV.DR.OLAVO GUIMARAES,250               ",          ,                                                  ,V.ARENS                       ,13201-760,JUNDIAI                                                     ,3525904.0
2425,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,UNIV.DE BRASILIA                                            ,"CENTRO DE VIVENCIAS II,BLOCO C          ",          ,CAMPUS UNIVERSITARIO DARCY RIBEIRO                ,ASA NORTE                     ,70910-900,BRASILIA                                                    ,5300108.0
2426,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,UNIV.FEDERAL DE GO                                          ,QUINTA AVENIDA                          ,          ,QD.62                                             ,SETOR UNIVERSITARIO           ,74605-220,GOIANIA                                                     ,5208707.0
2427,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SETOR PEDRO LUDOVICO                                        ,"AV.QUARTA RADIAL,500                    ",          ,"QD.82,LOTE 21                                     ",SETOR PEDRO LUDOVICO          ,74830-130,GOIANIA                                                     ,5208707.0
2428,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,VILA JAGUARA                                                ,"R.PAUVA,131                             ",          ,                                                  ,V.JAGUARA                     ,05116-000,SAO PAULO                                                   ,3550308.0
2429,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CACHAMBI                                                    ,"AV.DOM HELDER CAMARA,5151               ",          ,ANTIGA AV.SUBURBANA                               ,CACHAMBI                      ,20771-001,RIO DE JANEIRO                                              ,3304557.0
2430,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,IMBUI                                                       ,"RUA DAS ARARAS, 1210                    ",          ,                                                  ,IMBUI                         ,41720-010,SALVADOR                                                    ,2927408.0
