,nome_instituicao,nome_agencia,endereco,numero,complemento,bairro,cep,municipio,municipio_ibge
2360,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PRINCESA DOS CAMPOS                                         ,AV. ERNESTO VILELA                      ,704,NOVA RUSSIA                                       ,NOVA RUSSIA                   ,84070-000,PONTA GROSSA                                                ,4119905.0
2361,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,BATEL                                                       ,"AV.SETE DE SETEMBRO,4781                ",          ,                                                  ,BATEL                         ,80240-000,CURITIBA                                                    ,4106902.0
2362,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MIGRANTE                                                    ,"AV.BRASIL,7959                          ",          ,PCA.DO MIGRANTE                                   ,CENTRO                        ,85801-002,CASCAVEL                                                    ,4104808.0
2363,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SHOPPING PLANALTINA                                         ,"SHD,PROJECAO 1,LOJA 4                   ",          ,PLANALTINA SHOPPING                               ,PLANALTINA                    ,73310-200,BRASILIA (PLANALTINA)                                       ,5300108.0
2364,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,BRAZLANDIA                                                  ,"QD.5,LOTE 67                            ",          ,SETOR NORTE                                       ,BRAZLANDIA                    ,72705-050,BRASILIA (BRAZLANDIA)                                       ,5300108.0
2365,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,BATISTA CAMPOS                                              ,"AV.CONS.FURTADO,799                     ",          ,PROX.TV.PE.EUTIQUIO                               ,BATISTA CAMPOS                ,66025-160,BELEM                                                       ,1501402.0
2366,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CENTRO EMPRESARIAL                                          ,"AV.MARIA COELHO AGUIAR,215              ",          ,"BL.G,LOJA 6,TERREO                                ",JD.SAO LUIS                   ,05805-000,SAO PAULO                                                   ,3550308.0
2367,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA COMERCIO-BA                                         ,"AV.ESTADOS UNIDOS,561                   ",          ,2.ANDAR                                           ,COMERCIO                      ,40010-020,SALVADOR                                                    ,2927408.0
2368,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,UNIMART SHOPPING                                            ,"MARG.AV.JOHN BOYD DUNLOP,350            ",          ,                                                  ,CHAC.DA REPUBLICA             ,13033-000,CAMPINAS                                                    ,3509502.0
2369,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,AV.CASTELO BRANCO                                           ,"AV.CASTELO BRANCO,2480                  ",          ,"QD.128,LOTE 18                                    ",SETOR CAMPINAS                ,74513-101,GOIANIA                                                     ,5208707.0
2370,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SAO MATEUS                                                  ,"AV.PRES.ITAMAR FRANCO,1710              ",          ,                                                  ,SAO MATEUS                    ,36016-321,JUIZ DE FORA                                                ,3136702.0
2371,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,GECEX SALVADOR                                              ,"AV.ESTADOS UNIDOS,561                   ",          ,3.ANDAR                                           ,COMERCIO                      ,40010-020,SALVADOR                                                    ,2927408.0
2372,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,HALFELD                                                     ,"AV.GETULIO VARGAS,426                   ",          ,                                                  ,CENTRO                        ,36010-110,JUIZ DE FORA                                                ,3136702.0
2373,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MANOEL HONORIO                                              ,"AV.BARAO DO RIO BRANCO,385              ",          ,                                                  ,MANOEL HONORIO                ,36045-120,JUIZ DE FORA                                                ,3136702.0
2374,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PAMPULHA                                                    ,AV.PRES.CARLOS LUZ                      ,3001,"2.PISO,LOJAS 2102/2108                            ",INDAIA                        ,31270-122,BELO HORIZONTE                                              ,3106200.0
2375,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA PALMAS                                              ,AG 1505 QD 101 N CJ 01 LT 10            ,          ,AV TEOTONIO SEGURADO 1º PISO                      ,CENTRO                        ,77001-004,PALMAS                                                      ,1721000.0
2376,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PITUACU                                                     ,"R.MARQUES DE QUELUZ,204                 ",          ,PROXIMO AO REST.SAL E BRASA                       ,PITUACU                       ,41740-170,SALVADOR                                                    ,2927408.0
2377,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MADUREIRA CENTRO                                            ,"R.CARVALHO DE SOUZA,181                 ",          ,                                                  ,MADUREIRA                     ,21350-180,RIO DE JANEIRO                                              ,3304557.0
2378,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PRACA DO MARQUES                                            ,"AL PARNAIBA,2000                        ",          ,                                                  ,MQ PARANAGUA                  ,64002-475,TERESINA                                                    ,2211001.0
2379,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MANGABEIRA                                                  ,"R.JOSEFA TAVEIRA, 274                   ",          ,                                                  ,MANGABEIRA                    ,58055-000,JOAO PESSOA                                                 ,2507507.0
2380,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,JUCUTUQUARA                                                 ,"AV.VITORIA,1912                         ",          ,LOJA 5                                            ,ILHA DE STA.MARIA             ,29051-042,VITORIA                                                     ,3205309.0
2381,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,NOVA SUICA                                                  ,AV.AVENIDA T-63                         ,984,"SALAS 9/11,ED.MONTE LIBANO                        ",ST BUENO                      ,74230-100,GOIANIA                                                     ,5208707.0
2382,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MENINO DEUS                                                 ,"AV.PRAIA DE BELAS,2180                  ",          ,                                                  ,MENINO DEUS                   ,90110-000,PORTO ALEGRE                                                ,4314902.0
2383,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,VILA OLIVEIRA                                               ,"R.CEL.SOUZA FRANCO,1185                 ",          ,                                                  ,V.OLIVEIRA                    ,08780-120,MOGI DAS CRUZES                                             ,3530607.0
2384,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CIDADE VERDE-PR                                             ,"AV.PEDRO TAQUES,434                     ",          ,                                                  ,ZONA 07                       ,87030-000,MARINGA                                                     ,4115200.0
2385,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MUDA                                                        ,"R.CONDE DE BONFIM,681                   ",          ,LOJA A                                            ,TIJUCA                        ,20520-052,RIO DE JANEIRO                                              ,3304557.0
2386,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,NOVA SUICA                                                  ,AV SILVA LOBO 924                       ,          ,                                                  ,N SUISSA                      ,30421-198,BELO HORIZONTE                                              ,3106200.0
2387,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MARGEM ESQUERDA                                             ,"AV.PATRICIO LIMA,1101                   ",          ,                                                  ,HUMAITA                       ,88704-410,TUBARAO                                                     ,4218707.0
2388,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,ESCR.EXC.F.DE ITAPUA                                        ,"R.DIREITA DA PIEDADE,25                 ",          ,4 PAVIMENTO - ALA B                               ,BARRIS                        ,40070-190,SALVADOR                                                    ,2927408.0
2389,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,AUGUSTA                                                     ,R. AUGUSTA                              ,2975,                                                  ,C CESAR                       ,01413-100,SAO PAULO                                                   ,3550308.0
2390,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PAPICU                                                      ,"AV.SANTOS DUMONT,5640                   ",          ,LOJAS 08 E 09 - DUNAS CENTER                      ,PAPICU                        ,60192-018,FORTALEZA                                                   ,2304400.0
2391,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PARANGABA                                                   ,"AV.JOAO PESSOA,7209                     ",          ,                                                  ,PARANGABA                     ,60721-340,FORTALEZA                                                   ,2304400.0
2392,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,JACANA                                                      ,AV GUAPIRA 2117                         ,          ,                                                  ,TUCURUVI                      ,02265-002,SAO PAULO                                                   ,3550308.0
2393,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SERVIDOR CURITIBA                                           ,"AL.DR.MURICY,875                        ",          ,1.ANDAR                                           ,CENTRO                        ,80020-040,CURITIBA                                                    ,4106902.0
2394,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PARQUE DA UVA                                               ,"AV.JUNDIAI,600                          ",          ,                                                  ,ANHANGABAU                    ,13208-051,JUNDIAI                                                     ,3525904.0
2395,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,ESCR.EXC.M.MODELO                                           ,"R.DIREITA DA PIEDADE,25                 ",          ,1 PAVIMENTO - ALA B                               ,BARRIS                        ,40070-190,SALVADOR                                                    ,2927408.0
2396,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PIRAPORINHA                                                 ,"AV.CASA GRANDE,2591                     ",          ,                                                  ,JD.PORTINARI                  ,09961-350,DIADEMA                                                     ,3513801.0
2397,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SAO JUDAS                                                   ,"AV.JABAQUARA,2925                       ",          ,                                                  ,MIRANDOPOLIS                  ,04045-902,SAO PAULO                                                   ,3550308.0
2398,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PORTO SECO PIRAJA                                           ,"R.ALVARO GOMES DE CASTRO,343            ",          ,"QD.G,LOTE 2                                       ",COND.PORTO SECO PIRAJA        ,41233-005,SALVADOR                                                    ,2927408.0
2399,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA NORTE                                               ,"CLN 214, BLOCO B                        ",          ,2.ANDAR                                           ,A NORTE                       ,70873-500,BRASILIA                                                    ,5300108.0
2400,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA GOIANIA                                             ,"R.CINCO,791                             ",          ,"PCA.TAMANDARE,ESQ.C/R.OITO                        ",SETOR OESTE                   ,74115-060,GOIANIA                                                     ,5208707.0
2401,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PRAIA DE IRACEMA                                            ,"AV.DA ABOLICAO,2308                     ",          ,                                                  ,MEIRELES                      ,60165-080,FORTALEZA                                                   ,2304400.0
2402,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CORP BANK FARIA LIMA                                        ,AV. BRIGADEIRO FARIA LIMA               ,3729,4.ANDAR                                           ,ITAIM BIBI                    ,04538-905,SAO PAULO                                                   ,3550308.0
2403,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PRACA CIVICA                                                ,"R.OITENTA E TRES,52                     ",          ,                                                  ,SETOR SUL                     ,74083-195,GOIANIA                                                     ,5208707.0
2404,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,AV.RUBENS MENDONCA                                          ,"AV.HIST.RUBENS DE MENDONCA,1236         ",          ,                                                  ,BOSQUE DA SAUDE               ,78050-000,CUIABA                                                      ,5103403.0
2405,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,RUA MARIA MARCOLINA                                         ,"R.MARIA MARCOLINA,602/604               ",          ,                                                  ,BRAS                          ,03011-000,SAO PAULO                                                   ,3550308.0
2406,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,GECEX SAO PAULO II                                          ,"R.SAO BENTO,465                         ",          ,7.ANDAR                                           ,CENTRO                        ,01011-100,SAO PAULO                                                   ,3550308.0
2407,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,AVENIDA PIRACICABA                                          ,"AV.PIRACICABA,594                       ",          ,                                                  ,JD.PIRATININGA                ,13480-743,LIMEIRA                                                     ,3526902.0
2408,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SANTA CRUZ                                                  ,"R.DOMINGOS DE MORAIS,2285               ",          ,                                                  ,V.MARIANA                     ,04035-000,SAO PAULO                                                   ,3550308.0
2409,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA CONTORNO                                            ,AVENIDA DO CONTORNO                     ,1600,02.ANDAR                                          ,FLORESTA                      ,30110-008,BELO HORIZONTE                                              ,3106200.0
2410,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,ESCOLA PLTA.MEDICINA                                        ,"R.BOTUCATU,720/740                      ",          ,                                                  ,V.CLEMENTINO                  ,04023-062,SAO PAULO                                                   ,3550308.0
2411,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SANTA GENOVEVA                                              ,AV.VERA CRUZ                            ,2036,"QUADRA 120, LOTE 14/15                            ",JD GUANABARA                  ,74675-830,GOIANIA                                                     ,5208707.0
2412,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SANTA MARIA JETIBA                                          ,"AV.FREDERICO GRULKE,1056                ",          ,TERREO                                            ,CENTRO                        ,29645-000,SANTA MARIA DE JETIBA                                       ,3204559.0
2413,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SAO CRISTOVAO                                               ,"AV.JOAO VINTE E TRES,2994               ",          ,PROX.AO BALAO DE SAO CRISTOVAO                    ,SAO CRISTOVAO                 ,64045-970,TERESINA                                                    ,2211001.0
2414,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SAO JOSE DE UBA                                             ,"AV.DAVID VIEIRA NEY,264                 ",          ,                                                  ,CENTRO                        ,28455-000,SAO JOSE DE UBA                                             ,3305133.0
2415,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SAO SIMAO-GO                                                ,"AV.GOIAS,S/N                            ",          ,ESQ.C/AV.RIO DE JANEIRO                           ,CENTRO                        ,75890-000,SAO SIMAO                                                   ,5220405.0
2416,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SEIS BOCAS                                                  ,"AV.OLIVEIRA PAIVA,2920                  ",          ,                                                  ,CIDADE DOS FUNCIONARIOS       ,60822-131,FORTALEZA                                                   ,2304400.0
2417,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA SUL                                                 ,"SHCS,CR QD.516,BLOCO B                  ",          ,"LOJAS 71/79,TERREO,SUBSOLO E 1.ANDAR              ",ASA SUL                       ,70381-525,BRASILIA                                                    ,5300108.0
2418,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PORTAL                                                      ,"AV PREFEITO WALDEMAR GRUBBA,2800        ",          ,                                                  ,VL LALAU                      ,89256-501,JARAGUA DO SUL                                              ,4208906.0
2419,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,Q.G.DO EXERCITO-BSB                                         ,"AV.DO EXERCITO,BLOCO H                  ",          ,"TERREO,QG DO EXERCITO                             ",SETOR MILITAR URBANO          ,70630-901,BRASILIA                                                    ,5300108.0
2420,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,FRANCISCO PORTO                                             ,"AV FRANCISCO PORTO, 566                 ",          ,                                                  ,S FILHO                       ,49020-570,ARACAJU                                                     ,2800308.0
